        A 马克思主义、列宁主义、毛泽东思想、邓小平理论
                    B913 宗教与科学
                    {B916} 对宗教的分析和研究
                    B917 破除迷信
                B92 宗教理论与概况
                    B920 宗教理论、宗教思想
                    B921 自然神学、宗教神学
                    B922 宗教组织和宗教教育
                    [B925] 宗教文学与艺术
                    B928 世界各国宗教概况
                    B929 宗教史、宗教地理
                        B929.9 宗教家传记
                B93 神话与原始宗教
                    B932 神话
                    B933 原始宗教
                B94 佛教
                    B941 大藏经
                    B942 经及经疏
                        B942.1 大乘
                        B942.2 小乘
                        B942.3 秘密部
                    B943 律及律疏
                        B943.1 大乘律
                        B943.2 有部律
                        B943.3 四分律（戒本、羯磨）
                        B943.4 五分律
                        B943.9 其他
                    B944 论及论疏
                        B944.1 大乘宗经论
                        B944.2 大乘释经论
                        B944.3 大乘诸论释
                        B944.4 小乘论
                        B944.5 秘密部论
                        B944.6 杂藏
                    B945 布教、仪注
                    B946 宗派
                        B946.1 天台宗（日莲宗、法华宗）
                        B946.2 三论宗（法性宗）
                        B946.3 法相宗（唯识宗、慈恩宗）
                        B946.4 华严宗（贤首宗）
                        B946.5 禅宗（佛心宗）
                        B946.6 密宗（秘宗教、真言乘、金刚乘）
                        B946.7 律宗（南山律宗）
                        B946.8 净土宗（莲宗）
                        B946.9 其他
                    B947 佛教组织及寺院
                    B948 对佛教的分析和研究
                    B949 佛教史
                        B949.9 传记
                B95 道教
                    B951 道藏
                    B952 经文
                    B953 戒律
                    B955 布教、仪注
                    B956 宗派
                        B956.1 太平道
                        B956.2 天师道（五斗米道）
                        B956.3 全真道
                        B956.4 真大道教（大道教）
                        B956.5 太一道
                        B956.9 其他
                    B957 道教组织及道观
                    B958 对道教的分析与研究
                    B959 道教史
                        B959.9 传记
                B96 伊斯兰教（回教）
                    B961 古兰经（可兰经）
                    B963 教义、规律
                    B964 圣训及注释
